id,category,question,answer,source
1,请假,怎么请病假?,病假需辅导员签字的假条+校医院诊断证明，请假3天内交至教务处备案，超过3天需学院分管领导审批,学生手册P23
2,请假,事假申请流程是什么?,事假提前1天在企业微信提交申请，辅导员审核，3天以上事假需学院领导签字，返校当日销假,学生手册P24
3,请假,请假逾期未销假会有什么后果?,逾期3天未销假视为无故旷课，记入考勤档案，取消当月评优资格,学生手册P25
4,奖学金,奖学金评定需要什么基础条件?,学年平均绩点≥3.0，无挂科科目，体质健康测试成绩合格，无违纪处分记录,学生手册P45
5,奖学金,国家助学金申请标准是什么?,家庭经济困难认定通过，无高消费行为，学年绩点不低于2.2，未受过校纪处分,官网学生资助专栏
6,奖学金,校级一等奖学金奖金多少、名额比例?,奖金2000元/学年，专业年级综合排名前5%可参评,学生手册P46
7,奖学金,挂科后还能申请励志奖学金吗?,当学年有挂科科目直接丧失励志奖学金参评资格，补考通过也无法弥补,班级群通知9.12
8,宿舍报修,宿舍水管漏水怎么报修?,登录校园一卡通小程序-生活服务-宿舍报修，填写楼栋房间、故障描述，24小时内维修人员上门,官网后勤管理页
9,宿舍报修,宿舍空调故障维修收费吗?,非人为损坏免费维修；人为损毁零部件需自行承担配件费用,学生手册P78
10,宿舍报修,夜间断电紧急报修渠道是什么?,晚22:00至次日7:00拨打后勤24小时维修热线，线上报修系统夜间暂停接单,后勤通知群
11,一卡通补办,校园卡丢失怎么挂失?,先在校园APP一键挂失，再携带身份证前往行政楼102卡务中心补办,学生手册P61
12,一卡通补办,补办一卡通工本费多少钱?,新卡工本费20元，支持微信、校园余额扣费,行政楼窗口公示
13,一卡通补办,挂失后找到旧卡能恢复使用吗?,挂失72小时内可带身份证到卡务中心解挂，超过72小时旧卡直接作废,卡务中心须知
14,选课退课,大一新生选课开放时间?,每年9月第二周周一至周五，每日8:00-22:00开放选课系统,教务处官网通知
15,选课退课,课程退课截止日期是什么时候?,开学后第四周周五18点前可免费退课，超时退课会标记退课记录,学生手册P37
16,选课退课,选修课学分不够怎么补?,可在下一学期多选通识选修课，每学期最多修读3门通识选修,教务处选课规则
17,宿舍报修,宿舍门锁损坏报修需要提供什么信息?,楼栋号、寝室号、宿舍长联系方式、门锁故障现象,后勤报修页面提示
18,一卡通补办,一卡通余额怎么转移到新卡?,补办新卡后工作人员自动将旧卡余额转入新卡，3个工作日内到账,卡务中心说明
19,请假,实习请假需要额外提交材料吗?,校外实习请假需附企业实习协议复印件，由辅导员统一报备教务处,学生手册P26
20,奖学金,综合素质加分包含哪些项目?,竞赛获奖、志愿服务、学生干部任职、论文发表均可折算综测分数,综测评定细则
21,选课退课,选课系统卡顿无法登录怎么办?,切换校园内网，避开中午12点高峰时段，联系教务处信息科处理,教务处通知
22,宿舍报修,宿舍热水器不出热水找谁维修?,热水器属于后勤专属维修品类，线上报修选择“水电暖通”分类,后勤工作指引
